"","dt","symbol1","symbol2"
"1",2005-01-01,"OHI","MAC"
"2",2005-01-01,"CCL","RCL"
"3",2005-01-01,"CCJ","SQM"
"4",2005-01-01,"DECK","BG"
"5",2005-01-01,"DECK","BYD"
"6",2005-01-01,"PRU","CCL"
"7",2005-01-01,"TIF","MMS"
"8",2005-01-01,"KEP","SQM"
"9",2005-01-01,"UPS","CCL"
"10",2005-01-01,"TV","CCJ"
"11",2005-01-01,"CCL","CCJ"
"12",2005-01-01,"CCL","DECK"
"13",2005-01-01,"TV","DECK"
"14",2005-01-01,"DECK","SQM"
"15",2005-01-01,"PKX","SQM"
"16",2005-01-01,"RSG","ADS"
"17",2005-01-01,"NFX","COG"
"18",2005-01-01,"BYD","BG"
"19",2005-01-01,"HAE","DECK"
"20",2005-01-01,"HAE","MAC"
"21",2005-01-01,"OHI","SQM"
"22",2005-01-01,"CCJ","DECK"
"23",2005-01-01,"ING","SQM"
"24",2005-01-01,"COG","CNX"
"25",2005-01-01,"PKX","KEP"
"26",2005-01-01,"ADS","CNX"
"27",2005-01-01,"ADS","FDS"
"28",2005-01-01,"UPS","DECK"
"29",2005-01-01,"MKL","DECK"
"30",2005-01-01,"NOK","DKS"
"31",2005-01-01,"CCL","TV"
